GazeOfLeft		00:00:26.411	26.411	00:00:26:10	00:00:26.745	26.745	00:00:26:18	00:00:00.334	0.334	00:00:00:08	Robot	(-51,-45)
GazeOfLeft		00:00:27.470	27.47	00:00:27:11	00:00:28.431	28.431	00:00:28:10	00:00:00.961	0.961	00:00:00:24	Other	(-49,-57)
GazeOfLeft		00:00:38.685	38.685	00:00:38:17	00:00:41.666	41.666	00:00:41:16	00:00:02.981	2.981	00:00:02:24	Robot	(-51,-56)
GazeOfLeft		00:02:38.978	158.978	00:02:38:24	00:02:40.077	160.077	00:02:40:01	00:00:01.099	1.099	00:00:01:02	Tablet	(-53,-56)
GazeOfLeft		00:11:49.970	709.97	00:11:49:24	00:11:50.892	710.892	00:11:50:22	00:00:00.922	0.922	00:00:00:23	Other	(-47,-55)
GazeOfLeft		00:11:54.402	714.402	00:11:54:10	00:11:56.519	716.519	00:11:56:12	00:00:02.117	2.117	00:00:02:02	Tablet	(-50,-54)
GazeOfLeft		00:11:58.940	718.94	00:11:58:23	00:11:59.882	719.882	00:11:59:22	00:00:00.942	0.942	00:00:00:23	Other	(-55,-56)
GazeOfRight		00:00:26.411	26.411	00:00:26:10	00:00:26.745	26.745	00:00:26:18	00:00:00.334	0.334	00:00:00:08	Robot	(31,36)
GazeOfRight		00:00:26.745	26.745	00:00:26:18	00:00:27.823	27.823	00:00:27:20	00:00:01.078	1.078	00:00:01:01	Other	(41,48)
GazeOfRight		00:00:38.685	38.685	00:00:38:17	00:00:41.666	41.666	00:00:41:16	00:00:02.981	2.981	00:00:02:24	Robot	(-32,35)
GazeOfRight		00:02:38.978	158.978	00:02:38:24	00:02:40.077	160.077	00:02:40:01	00:00:01.099	1.099	00:00:01:02	Tablet	(42,44)
GazeOfRight		00:05:37.921	337.921	00:05:37:23	00:05:38.764	338.764	00:05:38:19	00:00:00.843	0.843	00:00:00:21	Other	(44,49)
GazeOfRight		00:06:33.606	393.606	00:06:33:15	00:06:34.312	394.312	00:06:34:07	00:00:00.706	0.706	00:00:00:17	Tablet	(24,44)
GazeOfRight		00:11:54.402	714.402	00:11:54:10	00:11:56.519	716.519	00:11:56:12	00:00:02.117	2.117	00:00:02:02	Tablet	(26,35)
GazeOfRight		00:12:14.205	734.205	00:12:14:05	00:12:15.852	735.852	00:12:15:21	00:00:01.647	1.647	00:00:01:16	Other	(41,49)
