,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,-14,6,4,-47
1,0.2,-17,21,3,-47
2,0.3333333333333333,6,-37,5,-45
3,0.43333333333333335,-22,22,5,-45
4,0.5666666666666667,-17,26,4,-43
5,0.7,13,-33,5,-37
6,0.8,-29,15,4,-42
7,0.9333333333333333,1,-42,4,-43
8,1.0666666666666667,6,-43,5,-42
9,1.1666666666666667,4,-43,2,-44
10,1.3,8,-39,2,-43
11,1.4333333333333333,6,-39,3,-43
12,1.5666666666666667,4,-42,2,-44
13,1.6666666666666667,6,-40,4,-43
14,1.8,-19,26,2,-49
15,1.9333333333333333,-16,36,3,-54
16,2.0666666666666664,-10,44,3,-54
17,2.1666666666666665,-9,45,3,-54
18,2.2666666666666666,-13,42,3,-54
19,2.3666666666666667,-13,41,3,-54
20,2.466666666666667,-13,42,3,-54
21,2.6,-11,44,3,-54
22,2.7,-11,43,3,-54
23,2.8333333333333335,-13,41,3,-54
24,2.966666666666667,-11,42,3,-54
25,3.1,-12,38,3,-54
26,3.2,-18,29,3,-54
27,3.3333333333333335,-21,25,3,-54
28,3.466666666666667,7,-39,3,-54
29,3.6,8,-40,3,-54
30,3.7333333333333334,9,-36,3,-54
31,3.8333333333333335,6,-42,3,-54
32,3.966666666666667,4,-42,3,-54
33,4.1,6,-40,3,-54
34,4.2,2,-40,3,-54
35,4.333333333333333,4,-41,3,-54
36,4.433333333333334,-25,25,3,-54
37,4.566666666666666,-20,30,3,-54
38,4.666666666666667,-20,29,3,-54
39,4.8,-16,25,3,-54
40,4.9,-18,30,3,-54
41,5.033333333333333,-12,43,3,-54
42,5.166666666666667,-13,41,3,-54
43,5.3,-12,41,3,-54
44,5.4,-16,40,3,-54
45,5.533333333333333,-13,42,3,-54
46,5.666666666666667,-17,41,3,-54
47,5.8,-12,46,0,-58
48,5.9,-11,47,-1,-59
49,6.033333333333333,-13,45,4,-53
50,6.166666666666667,-12,44,4,-53
51,6.3,-15,40,4,-53
52,6.4,-13,41,5,-52
53,6.533333333333333,-12,42,6,-51
54,6.666666666666667,-15,33,5,-51
55,6.8,-19,28,8,-48
56,6.933333333333334,-16,32,6,-51
57,7.066666666666666,-18,33,-25,29
58,7.166666666666667,-11,33,4,-53
59,7.3,-18,31,5,-52
60,7.433333333333334,-1,-45,6,-50
61,7.566666666666666,-21,28,7,-48
62,7.666666666666667,-20,24,-34,17
63,7.8,-23,25,-25,20
64,7.933333333333334,-23,26,1,-47
65,8.066666666666666,-24,24,1,-47
66,8.2,-23,16,1,-47
67,8.3,-18,5,1,-47
68,8.433333333333334,-22,22,-20,23
69,8.566666666666666,-20,17,-17,25
70,8.7,-20,23,-19,23
71,8.8,-22,24,-23,20
72,8.933333333333334,-22,22,-28,21
73,9.066666666666666,-19,22,-28,21
74,9.2,-21,27,-28,21
75,9.3,-19,27,-30,23
76,9.433333333333334,-19,22,-30,23
77,9.566666666666666,-20,25,-22,22
78,9.7,-17,27,-25,26
79,9.8,-31,15,-25,26
80,9.933333333333334,-28,22,-25,26
81,10.066666666666666,-25,23,-25,26
82,10.2,-22,24,-25,26
83,10.3,-23,24,41,-20
84,10.433333333333334,-23,25,54,-16
85,10.566666666666666,-24,26,54,-16
86,10.7,-22,25,60,-13
87,10.8,-21,28,52,-17
88,10.933333333333334,-21,28,50,-17
89,11.066666666666666,-20,29,43,-19
90,11.2,-22,27,57,-14
91,11.3,-20,28,48,-18
92,11.433333333333334,-21,27,44,-19
93,11.566666666666666,-20,23,45,-17
94,11.7,-20,25,51,-14
95,11.8,-21,27,46,-17
96,11.933333333333334,-19,26,48,-16
97,12.066666666666666,-19,25,44,-18
98,12.2,-7,-51,48,-16
99,12.3,-5,-49,52,-14
100,12.433333333333334,-6,-49,54,-13
101,12.566666666666666,-6,-50,47,-17
102,12.7,-2,-46,45,-18
103,12.8,-4,-48,45,-18
104,12.933333333333334,-7,-51,45,-17
105,13.066666666666666,-5,-51,51,-15
106,13.2,0,-44,54,-14
107,13.333333333333334,-22,28,54,-14
108,13.466666666666667,-19,25,54,-14
109,13.6,-18,23,56,-13
110,13.733333333333333,-20,28,54,-14
111,13.833333333333334,-6,26,48,-16
112,13.966666666666667,-2,52,47,-16
113,14.1,-2,50,49,-15
114,14.233333333333333,-4,49,49,-15
115,14.333333333333334,-3,51,49,-16
116,14.466666666666667,-3,51,42,-18
117,14.6,-5,47,44,-18
118,14.733333333333333,-6,46,41,-18
119,14.833333333333334,-8,39,45,-17
120,14.966666666666667,-13,38,43,-18
121,15.1,-15,34,42,-19
122,15.233333333333333,-14,32,44,-18
123,15.333333333333334,-19,31,45,-18
124,15.466666666666667,-18,29,42,-20
125,15.6,-19,29,39,-21
126,15.733333333333333,-21,27,42,-20
127,15.833333333333334,-18,29,41,-20
128,15.966666666666667,-19,28,44,-18
129,16.1,-18,27,43,-19
130,16.233333333333334,-17,27,43,-19
131,16.366666666666667,-15,25,41,-20
132,16.5,-15,19,39,-21
133,16.6,-14,20,47,-17
134,16.733333333333334,12,-30,45,-19
135,16.866666666666667,-4,-44,39,-21
136,17.0,-1,-43,39,-22
137,17.1,-6,-45,42,-19
138,17.233333333333334,-6,-42,40,-21
