,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,-4,-43,8,-47
1,0.2,-4,-41,11,-43
2,0.3333333333333333,18,-25,10,-46
3,0.43333333333333335,-5,-43,10,-46
4,0.5666666666666667,-4,-41,10,-46
5,0.7,-2,-41,11,-45
6,0.8,-4,-40,10,-46
7,0.9333333333333333,-2,-39,11,-46
8,1.0666666666666667,-2,-39,11,-47
9,1.1666666666666667,-2,-42,10,-45
10,1.3,-4,-44,11,-45
11,1.4333333333333333,-2,-43,9,-47
12,1.5666666666666667,-16,-32,10,-47
13,1.6666666666666667,-7,-39,10,-47
14,1.8,-5,-41,10,-46
15,1.9333333333333333,-6,-43,10,-45
16,2.0666666666666664,-4,-44,10,-47
17,2.1666666666666665,-4,-48,10,-46
18,2.2666666666666666,-4,-48,11,-45
19,2.3666666666666667,-3,-47,12,-45
20,2.466666666666667,-3,-47,11,-45
21,2.6,-3,-46,11,-45
22,2.7,-4,-46,11,-46
23,2.8333333333333335,-3,-47,14,-43
24,2.966666666666667,3,-39,15,-42
25,3.1,-6,-47,16,-40
26,3.2,16,-20,12,-43
27,3.3333333333333335,9,-28,15,-42
28,3.466666666666667,8,-29,13,-44
29,3.6,-26,17,11,-45
30,3.7333333333333334,-16,27,13,-44
31,3.8333333333333335,-16,27,16,-42
32,3.966666666666667,-16,27,17,-40
33,4.1,-16,27,15,-41
34,4.2,-8,32,17,-41
35,4.333333333333333,-14,37,15,-42
36,4.433333333333334,-10,38,15,-41
37,4.566666666666666,-15,38,16,-40
38,4.666666666666667,-11,43,-37,17
39,4.8,-8,45,15,-41
40,4.9,-13,39,15,-41
41,5.033333333333333,-10,40,14,-41
42,5.166666666666667,-15,37,64,-12
43,5.3,-14,37,54,-15
44,5.4,-12,39,16,-40
45,5.533333333333333,-13,38,60,-10
46,5.666666666666667,-12,39,18,-39
47,5.8,-12,38,16,-40
48,5.9,-12,38,47,-17
49,6.033333333333333,-14,38,17,-41
50,6.166666666666667,-11,41,50,-15
51,6.3,-13,39,44,-19
52,6.4,-12,40,52,-14
53,6.533333333333333,-13,40,44,-18
54,6.666666666666667,-13,40,17,-39
55,6.8,-13,39,17,-40
56,6.933333333333334,-15,38,44,-18
57,7.066666666666666,-15,38,16,-40
58,7.166666666666667,-16,37,17,-40
59,7.3,-15,38,49,-16
60,7.433333333333334,-14,39,47,-18
61,7.566666666666666,-13,40,16,-40
62,7.666666666666667,-14,38,16,-40
63,7.8,-12,40,17,-39
64,7.933333333333334,-14,39,14,-42
65,8.066666666666666,-13,38,16,-40
66,8.2,-14,39,16,-41
67,8.3,-14,39,18,-38
68,8.433333333333334,-13,38,17,-39
69,8.566666666666666,-12,40,17,-39
70,8.7,-13,40,17,-39
71,8.8,-12,40,17,-39
72,8.933333333333334,-13,40,16,-40
73,9.066666666666666,-12,39,15,-41
74,9.2,-12,38,15,-41
75,9.3,-13,37,17,-40
76,9.433333333333334,-13,39,15,-41
77,9.566666666666666,-14,37,15,-41
78,9.7,-13,38,15,-41
79,9.8,-13,36,16,-41
80,9.933333333333334,-11,38,14,-42
81,10.066666666666666,-14,37,18,-39
82,10.2,-12,37,16,-41
83,10.3,-11,37,17,-41
84,10.433333333333334,-11,38,16,-41
85,10.566666666666666,-14,36,15,-41
86,10.7,-13,36,14,-42
87,10.8,-11,37,14,-42
88,10.933333333333334,-14,35,13,-43
89,11.066666666666666,-10,38,14,-42
90,11.2,-10,37,15,-42
91,11.3,-11,35,13,-43
92,11.433333333333334,-11,36,13,-43
93,11.566666666666666,-11,37,14,-43
94,11.7,-10,38,13,-45
95,11.8,-8,42,16,-42
96,11.933333333333334,-8,42,16,-40
97,12.066666666666666,-7,40,16,-40
98,12.2,-15,37,18,-39
99,12.3,-12,40,18,-38
100,12.433333333333334,-12,39,17,-40
101,12.566666666666666,-12,39,15,-41
102,12.7,-14,38,13,-42
103,12.8,-12,39,14,-43
104,12.933333333333334,-14,36,12,-45
105,13.066666666666666,-12,38,11,-45
106,13.2,-14,38,17,-39
107,13.333333333333334,-13,38,14,-41
108,13.466666666666667,-12,42,12,-43
109,13.6,-9,42,15,-40
110,13.733333333333333,-9,50,14,-41
111,13.833333333333334,-10,49,14,-42
112,13.966666666666667,-10,48,11,-43
113,14.1,-10,49,16,-39
114,14.233333333333333,-8,49,12,-43
115,14.333333333333334,-10,42,14,-43
116,14.466666666666667,-18,29,12,-44
117,14.6,-11,29,13,-42
118,14.733333333333333,23,-18,13,-41
119,14.833333333333334,-16,17,14,-42
120,14.966666666666667,2,-18,14,-41
121,15.1,1,-26,11,-45
122,15.233333333333333,18,-23,-19,34
123,15.333333333333334,18,-23,14,-42
124,15.466666666666667,-5,-36,-19,37
125,15.6,-5,-42,14,-42
126,15.733333333333333,-6,-45,13,-42
127,15.833333333333334,-8,-48,14,-41
128,15.966666666666667,-9,8,-21,32
129,16.1,-6,38,-29,14
130,16.233333333333334,-4,48,-27,15
131,16.366666666666667,-4,47,20,-36
132,16.5,-8,43,-29,6
133,16.6,-5,39,-36,2
134,16.733333333333334,-11,36,-23,17
135,16.866666666666667,-9,-51,-19,38
136,17.0,-8,-46,19,-37
137,17.1,-8,-46,16,-40
138,17.233333333333334,-2,-19,18,-38
139,17.366666666666667,-9,36,18,-37
140,17.5,-5,47,-4,50
141,17.6,-5,47,-18,35
142,17.733333333333334,-6,44,19,-37
143,17.866666666666667,-7,36,-6,29
144,18.0,-6,37,13,-43
145,18.1,-9,34,14,-42
146,18.233333333333334,-15,31,-16,23
147,18.366666666666667,-15,32,14,-40
148,18.5,-11,34,16,-39
149,18.6,-19,31,-21,26
150,18.733333333333334,-18,31,14,-42
151,18.866666666666667,-18,30,16,-39
152,19.0,-15,26,16,-39
153,19.1,-18,28,16,-39
154,19.233333333333334,-8,-40,16,-40
155,19.366666666666667,-15,-50,14,-41
156,19.5,-12,-51,14,-42
157,19.6,-16,-50,13,-43
158,19.733333333333334,-15,-53,13,-44
159,19.866666666666667,-15,-53,13,-43
160,20.0,-13,-49,14,-42
161,20.1,-11,-52,16,-41
162,20.233333333333334,-16,-52,14,-43
163,20.366666666666667,-16,-54,16,-39
164,20.5,-12,-51,16,-39
165,20.6,-15,-43,15,-41
166,20.733333333333334,-16,-40,14,-41
167,20.866666666666667,-8,-37,14,-41
168,21.0,-18,-34,17,-38
169,21.1,-22,-32,17,-39
170,21.233333333333334,-17,-36,16,-40
171,21.366666666666667,-17,-33,18,-38
172,21.5,-17,-31,16,-40
173,21.6,-19,-29,19,-38
174,21.733333333333334,-13,-37,21,-37
175,21.866666666666667,-13,-37,12,-44
176,22.0,-13,-40,17,-34
177,22.1,-18,-35,27,-27
178,22.233333333333334,-18,-32,18,-35
179,22.366666666666667,-20,-29,21,-35
180,22.5,-36,-17,18,-40
