,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,17,-15,10,-45
1,0.2,48,-5,12,-44
2,0.3333333333333333,15,-16,11,-45
3,0.43333333333333335,16,-18,9,-47
4,0.5666666666666667,13,-18,10,-46
5,0.7,19,-14,10,-46
6,0.8,43,-5,10,-46
7,0.9333333333333333,17,-12,10,-46
8,1.0666666666666667,34,-7,10,-46
9,1.1666666666666667,34,-7,10,-45
10,1.3,54,-5,11,-44
11,1.4333333333333333,50,-6,10,-46
12,1.5666666666666667,16,-15,10,-46
13,1.6666666666666667,10,-25,10,-45
14,1.8,15,-20,10,-45
15,1.9333333333333333,4,-32,11,-45
16,2.0666666666666664,5,-34,9,-46
17,2.1666666666666665,5,-32,10,-46
18,2.2666666666666666,15,-24,11,-46
19,2.3666666666666667,6,-26,10,-46
20,2.466666666666667,6,-35,9,-47
21,2.6,2,-34,10,-45
22,2.7,4,-28,10,-46
23,2.8333333333333335,22,-4,10,-45
24,2.966666666666667,15,-13,10,-45
25,3.1,4,-26,9,-46
26,3.2,0,-23,10,-45
27,3.3333333333333335,-1,-21,9,-45
28,3.466666666666667,11,-14,10,-45
29,3.6,-36,4,9,-46
30,3.7333333333333334,1,38,9,-47
31,3.8333333333333335,17,-22,8,-47
32,3.966666666666667,19,-22,8,-47
33,4.1,11,-23,9,-45
34,4.2,13,-26,9,-46
35,4.333333333333333,10,-23,11,-44
36,4.433333333333334,8,-38,12,-41
37,4.566666666666666,6,-38,13,-41
38,4.666666666666667,6,-39,9,-45
39,4.8,9,-38,9,-46
40,4.9,19,-21,9,-46
41,5.033333333333333,-5,44,9,-46
42,5.166666666666667,-14,45,10,-45
43,5.3,-14,45,10,-45
44,5.4,0,51,10,-45
45,5.533333333333333,38,-14,11,-43
46,5.666666666666667,38,-14,3,-55
47,5.8,38,-14,10,-44
48,5.9,38,-14,-20,40
49,6.033333333333333,38,-14,-2,-61
50,6.166666666666667,38,-14,-1,-60
51,6.3,38,-14,-2,-62
52,6.4,38,-14,-6,-66
53,6.533333333333333,38,-14,-8,44
54,6.666666666666667,-1,-48,14,-40
55,6.8,-1,-48,3,-52
56,6.933333333333334,-1,-48,6,-51
57,7.066666666666666,-14,45,4,-53
58,7.166666666666667,-14,45,2,-54
59,7.3,-14,45,5,-51
60,7.433333333333334,-14,45,5,-51
61,7.566666666666666,-14,45,5,-50
62,7.666666666666667,-3,53,12,-45
63,7.8,-5,50,12,-44
64,7.933333333333334,4,47,11,-43
65,8.066666666666666,19,-1,10,-46
66,8.2,27,-3,11,-46
67,8.3,3,29,10,-46
68,8.433333333333334,5,49,11,-46
69,8.566666666666666,5,47,10,-46
70,8.7,-5,15,10,-46
71,8.8,9,-21,11,-46
72,8.933333333333334,3,20,11,-45
73,9.066666666666666,49,3,10,-46
74,9.2,11,-18,11,-44
75,9.3,29,-7,9,-45
76,9.433333333333334,4,-24,9,-47
77,9.566666666666666,25,-12,10,-46
78,9.7,1,-25,11,-45
79,9.8,4,-23,8,-46
80,9.933333333333334,39,-9,8,-45
81,10.066666666666666,22,-12,7,-47
82,10.2,7,-33,3,-50
83,10.3,22,-11,3,-54
84,10.433333333333334,37,-4,1,-55
85,10.566666666666666,27,-9,0,-55
86,10.7,18,-18,1,-55
87,10.8,27,-11,0,-52
88,10.933333333333334,18,-17,1,-50
89,11.066666666666666,13,-19,0,-46
90,11.2,15,-18,-2,-52
91,11.3,41,-1,4,-45
92,11.433333333333334,14,-20,11,-42
93,11.566666666666666,8,-28,12,-41
94,11.7,27,-12,10,-43
95,11.8,30,-14,15,-39
96,11.933333333333334,10,-24,12,-42
97,12.066666666666666,10,-26,9,-46
98,12.2,10,-26,10,-45
99,12.3,14,-22,11,-43
100,12.433333333333334,12,-22,11,-43
101,12.566666666666666,45,-3,9,-46
102,12.7,26,-12,8,-46
103,12.8,25,-15,8,-47
104,12.933333333333334,31,-13,6,-50
105,13.066666666666666,18,-22,6,-48
106,13.2,22,-20,7,-48
107,13.333333333333334,20,-22,8,-47
108,13.466666666666667,14,-23,8,-48
109,13.6,50,-14,7,-48
110,13.733333333333333,19,-19,7,-48
111,13.833333333333334,-88,-3,7,-48
112,13.966666666666667,75,-6,7,-49
113,14.1,55,-13,5,-50
114,14.233333333333333,6,-30,11,-45
115,14.333333333333334,24,-13,19,-25
116,14.466666666666667,25,-18,22,-29
117,14.6,34,-10,32,-28
118,14.733333333333333,-6,44,11,-45
119,14.833333333333334,26,-17,12,-46
120,14.966666666666667,0,35,12,-46
121,15.1,0,35,13,-43
122,15.233333333333333,35,-7,12,-45
123,15.333333333333334,-8,38,11,-46
124,15.466666666666667,-7,41,11,-46
125,15.6,28,-13,25,-32
126,15.733333333333333,-6,43,24,-32
127,15.833333333333334,1,31,27,-31
128,15.966666666666667,2,27,27,-31
129,16.1,-2,41,28,-31
130,16.233333333333334,33,-12,23,-34
131,16.366666666666667,25,-18,24,-33
132,16.5,-6,45,23,-34
133,16.6,24,-16,26,-32
134,16.733333333333334,23,-15,34,-28
135,16.866666666666667,33,-12,31,-29
136,17.0,30,-14,33,-29
137,17.1,27,-15,33,-29
138,17.233333333333334,33,-12,30,-30
139,17.366666666666667,25,-15,31,-30
140,17.5,28,-14,28,-31
141,17.6,32,-12,30,-30
142,17.733333333333334,31,-15,30,-31
143,17.866666666666667,-3,44,27,-32
144,18.0,-2,18,18,-32
145,18.1,28,-15,29,-29
146,18.233333333333334,-5,42,12,-45
147,18.366666666666667,-10,43,24,-34
148,18.5,29,-14,16,-41
149,18.6,36,-10,16,-41
150,18.733333333333334,-3,23,15,-42
151,18.866666666666667,4,-35,11,-46
152,19.0,4,-35,11,-46
153,19.1,39,0,12,-46
154,19.233333333333334,-4,-61,12,-45
155,19.366666666666667,23,-12,12,-46
156,19.5,-4,45,12,-46
157,19.6,-7,43,11,-46
158,19.733333333333334,1,31,11,-46
