,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,-9,-52,10,-32
1,0.2,-12,-48,16,-33
2,0.3333333333333333,-13,-53,14,-29
3,0.43333333333333335,-15,-50,17,-29
4,0.5666666666666667,-9,-47,10,-35
5,0.7,-7,-44,7,-37
6,0.8,-7,-46,15,-32
7,0.9333333333333333,-8,-40,11,-33
8,1.0666666666666667,-8,-48,8,-37
9,1.1666666666666667,-6,-48,12,-35
10,1.3,-3,-44,13,-31
11,1.4333333333333333,-5,-50,4,-40
12,1.5666666666666667,-3,-43,9,-37
13,1.6666666666666667,-8,-53,6,-40
14,1.8,-10,-53,8,-36
15,1.9333333333333333,-7,-56,5,-35
16,2.0666666666666664,-8,-57,2,-42
17,2.1666666666666665,-6,-56,8,-35
18,2.2666666666666666,-7,-54,9,-35
19,2.3666666666666667,-8,-56,10,-33
20,2.466666666666667,-6,-54,10,-33
21,2.6,-6,-54,16,-27
22,2.7,-7,-54,8,-36
23,2.8333333333333335,-6,-53,8,-31
24,2.966666666666667,-8,-53,9,-30
25,3.1,-7,-54,4,-34
26,3.2,-7,-52,9,-32
27,3.3333333333333335,-6,-54,12,-31
28,3.466666666666667,-6,-55,11,-34
29,3.6,-7,-55,1,-40
30,3.7333333333333334,-6,-55,12,-34
31,3.8333333333333335,-6,-51,13,-36
32,3.966666666666667,-9,-55,7,-41
33,4.1,-7,-54,9,-40
34,4.2,-4,-51,7,-41
35,4.333333333333333,-7,-51,8,-41
36,4.433333333333334,-6,-53,10,-38
37,4.566666666666666,-6,-51,8,-38
38,4.666666666666667,-12,46,9,-39
39,4.8,-8,-66,10,-38
40,4.9,-19,37,11,-37
41,5.033333333333333,-5,-52,-4,-60
42,5.166666666666667,-4,-49,-14,40
43,5.3,-8,-50,-20,36
44,5.4,-21,32,9,-38
45,5.533333333333333,-2,33,-18,34
46,5.666666666666667,-4,34,-26,32
47,5.8,-5,30,-27,31
48,5.9,-2,40,-26,33
49,6.033333333333333,-1,39,-30,29
50,6.166666666666667,-26,29,-22,32
51,6.3,-23,31,10,-39
52,6.4,-25,27,8,-40
53,6.533333333333333,-17,-27,11,-37
54,6.666666666666667,-9,-44,11,-36
55,6.8,-5,-39,10,-38
56,6.933333333333334,-2,-45,8,-41
57,7.066666666666666,9,-31,12,-36
58,7.166666666666667,2,-41,12,-35
59,7.3,2,-41,13,-35
60,7.433333333333334,4,-41,20,-28
61,7.566666666666666,1,-38,13,-32
62,7.666666666666667,-3,-38,9,-38
63,7.8,-1,-38,9,-38
64,7.933333333333334,0,8,13,-35
65,8.066666666666666,-4,35,13,-35
66,8.2,-5,30,-7,41
67,8.3,-5,34,-5,48
68,8.433333333333334,-13,-36,10,-34
69,8.566666666666666,-12,-35,-20,31
70,8.7,-15,-40,14,-33
71,8.8,2,-27,10,-34
72,8.933333333333334,-18,31,10,-37
73,9.066666666666666,57,-6,14,-34
74,9.2,19,-14,10,-35
75,9.3,-8,-40,14,-35
76,9.433333333333334,-3,-37,16,-24
77,9.566666666666666,-1,-34,29,-20
78,9.7,4,-39,37,-18
79,9.8,1,-37,34,-20
80,9.933333333333334,0,-43,16,-40
81,10.066666666666666,-2,-42,55,-12
82,10.2,-3,-42,58,-13
83,10.3,-4,-43,25,-28
84,10.433333333333334,-4,-47,25,-31
85,10.566666666666666,-7,-47,58,-11
86,10.7,3,-30,68,-7
87,10.8,-8,-50,63,-10
88,10.933333333333334,-11,-48,58,-12
89,11.066666666666666,-6,-45,14,-43
90,11.2,-10,-47,16,-41
91,11.3,-12,-46,14,-45
92,11.433333333333334,-10,-49,16,-41
93,11.566666666666666,-11,-48,18,-40
94,11.7,-12,-30,16,-42
95,11.8,-13,-42,16,-43
96,11.933333333333334,-12,-37,12,-47
97,12.066666666666666,-13,14,13,-46
