,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,1,-42,10,-43
1,0.2,5,-39,5,-45
2,0.3333333333333333,8,-38,8,-43
3,0.43333333333333335,5,-39,7,-43
4,0.5666666666666667,0,-41,2,-47
5,0.7,6,-40,2,-44
6,0.8,8,-38,7,-49
7,0.9333333333333333,3,-41,-1,-47
8,1.0666666666666667,4,-40,1,-45
9,1.1666666666666667,0,-43,3,-44
10,1.3,-1,-49,6,-49
11,1.4333333333333333,2,-55,4,-52
12,1.5666666666666667,2,-55,2,-54
13,1.6666666666666667,8,-48,5,-56
14,1.8,9,-48,4,-57
15,1.9333333333333333,9,-48,4,-56
16,2.0666666666666664,12,-45,3,-55
17,2.1666666666666665,10,-47,4,-56
18,2.2666666666666666,11,-47,3,-56
19,2.3666666666666667,8,-50,5,-52
20,2.466666666666667,10,-48,6,-53
21,2.6,10,-48,4,-50
22,2.7,10,-48,4,-50
23,2.8333333333333335,10,-48,4,-51
24,2.966666666666667,10,-48,4,-51
25,3.1,10,-48,5,-54
26,3.2,10,-48,4,-52
27,3.3333333333333335,10,-48,7,-52
28,3.466666666666667,10,-48,7,-49
29,3.6,-2,-58,6,-52
30,3.7333333333333334,-1,-52,6,-53
31,3.8333333333333335,-6,-50,0,-40
32,3.966666666666667,0,-46,4,-51
33,4.1,-13,-49,0,-53
34,4.2,-1,-44,0,-48
35,4.333333333333333,10,-33,7,-43
36,4.433333333333334,26,-26,4,-45
37,4.566666666666666,22,-29,1,-47
38,4.666666666666667,24,-23,2,-46
39,4.8,32,-18,2,-43
40,4.9,10,-35,5,-40
41,5.033333333333333,59,-6,3,-42
42,5.166666666666667,59,-6,2,-45
43,5.3,59,-6,2,-47
44,5.4,59,-6,4,-46
45,5.533333333333333,59,-6,4,-44
46,5.666666666666667,-7,47,5,-50
47,5.8,-3,43,5,-50
48,5.9,-6,35,5,-50
49,6.033333333333333,-6,37,4,-48
50,6.166666666666667,-6,43,3,-49
51,6.3,-8,41,6,-50
52,6.4,-4,47,2,-51
53,6.533333333333333,-2,53,3,-52
54,6.666666666666667,-7,46,-15,35
55,6.8,-6,47,3,-53
56,6.933333333333334,-8,44,4,-52
57,7.066666666666666,-14,25,6,-53
58,7.166666666666667,-13,31,3,-51
59,7.3,-17,31,2,-51
60,7.433333333333334,-14,39,6,-46
61,7.566666666666666,-9,38,6,-42
62,7.666666666666667,-10,37,8,-43
63,7.8,-11,38,12,-40
64,7.933333333333334,-8,37,12,-39
65,8.066666666666666,-7,36,9,-38
66,8.2,-10,36,7,-42
67,8.3,-7,35,4,-44
68,8.433333333333334,-3,27,7,-42
69,8.566666666666666,-4,31,7,-41
70,8.7,0,33,7,-42
71,8.8,2,27,7,-43
72,8.933333333333334,0,28,7,-42
73,9.066666666666666,0,29,7,-44
74,9.2,-2,35,8,-42
75,9.3,-1,35,8,-43
76,9.433333333333334,-1,27,6,-42
77,9.566666666666666,-3,31,4,-44
78,9.7,-1,32,6,-44
79,9.8,-5,29,5,-45
80,9.933333333333334,-2,26,4,-45
81,10.066666666666666,-3,27,4,-43
82,10.2,0,31,4,-46
83,10.3,1,31,2,-45
84,10.433333333333334,-1,32,9,-43
85,10.566666666666666,0,31,9,-43
86,10.7,0,30,9,-43
87,10.8,0,31,9,-43
88,10.933333333333334,0,27,9,-43
89,11.066666666666666,0,31,9,-43
90,11.2,-1,29,9,-43
91,11.3,-1,28,-3,51
92,11.433333333333334,0,29,0,-57
93,11.566666666666666,-1,37,6,-50
94,11.7,-3,33,5,-39
95,11.8,-2,33,11,-40
96,11.933333333333334,-1,29,6,-38
97,12.066666666666666,-1,29,14,-36
98,12.2,-2,34,13,-39
99,12.3,-4,38,14,-37
100,12.433333333333334,-3,33,8,-41
101,12.566666666666666,-5,27,15,-39
102,12.7,-1,34,8,-41
103,12.8,-3,35,6,-44
104,12.933333333333334,-3,39,8,-43
105,13.066666666666666,0,53,5,-43
106,13.2,-6,49,6,-42
107,13.333333333333334,-37,11,6,-43
108,13.466666666666667,-6,43,7,-44
109,13.6,-2,49,6,-43
110,13.733333333333333,-2,49,10,-48
111,13.833333333333334,9,-45,12,-45
112,13.966666666666667,9,-45,12,-45
113,14.1,12,-43,0,51
114,14.233333333333333,10,-46,0,51
115,14.333333333333334,9,-48,0,51
116,14.466666666666667,12,-46,0,53
117,14.6,11,-45,0,55
118,14.733333333333333,10,-46,-1,54
119,14.833333333333334,8,-48,-2,53
120,14.966666666666667,10,-46,-6,49
121,15.1,4,-57,11,-46
122,15.233333333333333,13,-43,7,-52
123,15.333333333333334,15,-42,8,-46
124,15.466666666666667,10,-44,0,-41
125,15.6,9,19,2,-45
126,15.733333333333333,5,-47,0,-49
127,15.833333333333334,5,25,6,-50
128,15.966666666666667,5,23,4,-51
129,16.1,5,26,0,-49
130,16.233333333333334,-3,52,4,-48
131,16.366666666666667,-7,48,5,-48
132,16.5,-6,46,5,-49
133,16.6,6,28,5,-47
134,16.733333333333334,-2,21,6,-46
135,16.866666666666667,-3,51,6,-47
136,17.0,-1,48,6,-47
137,17.1,-4,47,3,-49
138,17.233333333333334,4,-50,3,-49
139,17.366666666666667,4,-50,7,-46
140,17.5,4,-50,24,-32
141,17.6,26,-31,4,-47
142,17.733333333333334,26,-31,3,-46
143,17.866666666666667,68,6,4,-49
144,18.0,39,-7,5,-48
145,18.1,70,-4,3,-48
146,18.233333333333334,-29,9,4,-48
147,18.366666666666667,11,-27,5,-47
148,18.5,28,-17,6,-46
149,18.6,36,-16,4,-46
150,18.733333333333334,23,-23,7,-45
151,18.866666666666667,42,-14,5,-47
152,19.0,54,-10,4,-48
153,19.1,1,52,5,-47
154,19.233333333333334,30,-24,4,-47
155,19.366666666666667,5,38,6,-46
156,19.5,29,-30,5,-47
157,19.6,63,-7,6,-47
158,19.733333333333334,35,0,6,-47
159,19.866666666666667,0,-53,4,-49
160,20.0,-42,-28,3,-48
161,20.1,10,17,3,-49
162,20.233333333333334,-2,36,5,-48
163,20.366666666666667,-1,43,5,-48
164,20.5,-2,45,2,-51
165,20.6,-3,42,4,-49
166,20.733333333333334,-4,44,-2,-49
167,20.866666666666667,-5,46,0,-51
168,21.0,-6,48,2,-49
169,21.1,-5,52,6,-50
170,21.233333333333334,-8,50,0,-47
171,21.366666666666667,-5,49,-2,-47
172,21.5,-8,51,-2,-47
173,21.6,-13,47,0,-55
174,21.733333333333334,-12,48,0,-55
175,21.866666666666667,-13,47,0,-55
176,22.0,-9,51,0,-55
177,22.1,-7,50,0,-55
178,22.233333333333334,-15,42,0,-55
179,22.366666666666667,-15,41,0,-55
180,22.5,-19,29,0,-55
181,22.6,12,-40,0,-55
182,22.733333333333334,-18,22,0,-55
183,22.866666666666667,5,-26,0,-55
184,23.0,5,-26,0,-55
185,23.1,5,-26,0,-55
186,23.233333333333334,5,-26,-12,-59
187,23.366666666666667,5,-26,-12,-59
188,23.5,5,-26,-2,56
189,23.6,24,-29,-5,52
190,23.733333333333334,14,-33,0,51
191,23.866666666666667,10,-30,0,51
192,24.0,4,24,0,51
193,24.1,-6,-31,0,51
194,24.233333333333334,5,-25,-5,45
195,24.366666666666667,1,-43,-5,45
196,24.5,-15,-56,-5,45
197,24.6,-2,-45,-10,40
198,24.733333333333334,-33,15,-10,40
199,24.866666666666667,-20,38,-10,40
200,25.0,-19,39,-10,40
201,25.1,-19,35,-10,40
202,25.233333333333334,-27,27,-10,40
203,25.366666666666667,-27,25,-10,40
204,25.5,-26,23,-10,40
205,25.6,-21,30,-10,40
206,25.733333333333334,-28,24,-10,40
207,25.866666666666667,-36,22,-10,40
208,26.0,-40,11,-10,40
209,26.133333333333333,-32,20,-10,40
210,26.233333333333334,-42,14,-10,40
211,26.366666666666667,-34,0,-4,45
212,26.5,-6,-60,-5,45
213,26.633333333333333,-6,-60,-5,45
214,26.733333333333334,-6,-60,-5,45
215,26.866666666666667,-6,-60,-5,45
216,27.0,-6,-60,-5,45
217,27.133333333333333,3,-56,-9,41
218,27.233333333333334,0,-59,-9,41
219,27.366666666666667,-4,-63,-9,41
220,27.5,-4,-59,-9,41
221,27.633333333333333,0,-43,-9,41
222,27.733333333333334,-19,25,-9,41
223,27.866666666666667,-20,30,-9,41
224,28.0,-19,32,27,-31
225,28.133333333333333,-19,32,27,-31
226,28.233333333333334,-16,40,27,-31
227,28.366666666666667,-21,31,27,-31
228,28.5,-19,34,27,-31
229,28.633333333333333,41,-14,27,-31
230,28.733333333333334,55,-12,27,-31
231,28.866666666666667,-65,6,27,-31
232,29.0,74,0,27,-31
233,29.133333333333333,-24,31,27,-31
234,29.233333333333334,-21,32,27,-31
235,29.366666666666667,-23,31,27,-31
236,29.5,-83,4,27,-31
237,29.633333333333333,-17,34,27,-31
238,29.733333333333334,-20,32,27,-31
239,29.866666666666667,-31,8,30,-30
240,30.0,15,-27,26,-33
241,30.133333333333333,10,-33,27,-33
242,30.233333333333334,22,-28,29,-31
243,30.366666666666667,15,-32,27,-32
244,30.5,18,-30,28,-32
245,30.633333333333333,14,-33,22,-36
246,30.733333333333334,17,-25,25,-34
247,30.866666666666667,-15,33,28,-32
