,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,0,0,15,-31
1,0.2,-22,28,12,-32
2,0.3333333333333333,-20,28,11,-36
3,0.43333333333333335,-23,30,12,-35
4,0.5666666666666667,-21,30,13,-33
5,0.7,-20,31,10,-36
6,0.8,-18,33,10,-38
7,0.9333333333333333,-17,34,10,-38
8,1.0666666666666667,-19,32,9,-37
9,1.1666666666666667,-18,31,10,-38
10,1.3,-17,31,12,-40
11,1.4333333333333333,-22,30,10,-40
12,1.5666666666666667,-19,33,10,-41
13,1.6666666666666667,-19,32,11,-42
14,1.8,-19,33,9,-44
15,1.9333333333333333,-19,33,8,-44
16,2.0666666666666664,-22,30,8,-45
17,2.1666666666666665,-22,29,7,-49
18,2.2666666666666666,0,-41,6,-50
19,2.3666666666666667,1,-39,9,-46
20,2.466666666666667,0,-40,8,-47
21,2.6,12,-32,8,-51
22,2.7,6,-15,8,-50
23,2.8333333333333335,-1,-43,9,-50
24,2.966666666666667,-20,31,9,-50
25,3.1,0,-35,10,-50
26,3.2,5,-36,9,-50
27,3.3333333333333335,5,-36,9,-51
28,3.466666666666667,-20,29,10,-50
29,3.6,-19,30,11,-49
30,3.7333333333333334,-20,28,9,-50
31,3.8333333333333335,-23,27,9,-51
32,3.966666666666667,6,-2,9,-51
33,4.1,6,-2,11,-49
34,4.2,-19,31,6,-53
35,4.333333333333333,6,-28,7,-52
36,4.433333333333334,3,-39,7,-53
37,4.566666666666666,-21,41,8,-52
38,4.666666666666667,-23,28,10,-49
39,4.8,-21,29,11,-47
40,4.9,-2,-60,11,-46
41,5.033333333333333,-24,28,10,-46
42,5.166666666666667,-25,25,-5,-63
43,5.3,-20,30,-21,37
44,5.4,-21,30,7,-47
45,5.533333333333333,-22,26,7,-48
46,5.666666666666667,-9,33,8,-46
47,5.8,-7,30,8,-45
48,5.9,-9,32,7,-48
49,6.033333333333333,-10,26,0,-56
50,6.166666666666667,-15,31,7,-45
51,6.3,-5,24,8,-45
52,6.4,-14,10,9,-43
53,6.533333333333333,-11,16,9,-43
54,6.666666666666667,-4,26,10,-42
55,6.8,-23,27,13,-40
56,6.933333333333334,-22,29,14,-40
57,7.066666666666666,-22,29,13,-40
58,7.166666666666667,-19,30,14,-39
59,7.3,-23,29,13,-39
60,7.433333333333334,-9,6,14,-39
61,7.566666666666666,-23,28,14,-38
62,7.666666666666667,-27,25,13,-39
63,7.8,-4,18,12,-41
64,7.933333333333334,-4,18,14,-40
65,8.066666666666666,-4,18,13,-41
66,8.2,-4,18,14,-39
67,8.3,-4,18,14,-39
68,8.433333333333334,-11,30,12,-42
69,8.566666666666666,-17,31,13,-39
70,8.7,-28,22,13,-40
71,8.8,-11,31,65,-9
72,8.933333333333334,-15,32,34,-23
73,9.066666666666666,-15,32,26,-27
74,9.2,-15,32,43,-20
75,9.3,-15,32,44,-20
76,9.433333333333334,-15,32,53,-15
77,9.566666666666666,-15,32,50,-16
78,9.7,-15,32,46,-18
79,9.8,-15,32,43,-19
80,9.933333333333334,-15,32,41,-20
81,10.066666666666666,-15,32,50,-15
82,10.2,-15,32,52,-15
83,10.3,-15,32,51,-16
84,10.433333333333334,-7,38,51,-15
85,10.566666666666666,-6,37,53,-14
86,10.7,-6,39,54,-15
87,10.8,-7,37,52,-16
88,10.933333333333334,-5,37,47,-17
89,11.066666666666666,-22,30,34,-25
90,11.2,-11,35,32,-27
91,11.3,-11,35,47,-19
92,11.433333333333334,-8,37,40,-22
93,11.566666666666666,-10,36,37,-24
94,11.7,-6,36,38,-23
95,11.8,-24,28,38,-23
96,11.933333333333334,-24,27,36,-24
