,timestamp,x_pos,y_pos,side
0,-1.0084075927734375,0.699999988079071,-0.14000000059604645,right
1,3.0091400146484375,-0.699999988079071,0.0,left
2,10.031255006790161,0.699999988079071,-0.14000000059604645,right
3,16.28229594230652,0.0,0.20000000298023224,straight
4,19.296183347702026,-0.699999988079071,0.0,left
5,22.308085203170776,0.699999988079071,-0.14000000059604645,right
6,25.822071313858032,0.0,-0.20000000298023224,straight
7,29.83759593963623,-0.699999988079071,0.0,left
8,34.351853132247925,0.699999988079071,-0.14000000059604645,right
9,36.36479449272156,-0.699999988079071,0.0,left
10,40.380826234817505,0.699999988079071,-0.14000000059604645,right
11,45.89689302444458,-0.699999988079071,0.0,left
12,54.585328102111816,0.2345000058412552,-0.09345000237226486,right
13,54.587214946746826,0.699999988079071,-0.14000000059604645,right
14,56.811747550964355,-0.18549999594688416,-0.05144999921321869,left
15,56.81649446487427,-0.699999988079071,0.0,left
16,58.804646253585815,0.2345000058412552,-0.09345000237226486,right
17,58.80962014198303,0.699999988079071,-0.14000000059604645,right
18,63.24537014961243,-0.18549999594688416,-0.05144999921321869,left
19,63.25049304962158,-0.699999988079071,0.0,left
20,66.32793545722961,-0.2345000058412552,-0.046549998223781586,left
21,66.33208680152893,-0.699999988079071,0.0,left
22,68.268639087677,0.18549999594688416,-0.08855000138282776,right
23,68.27263188362122,0.699999988079071,-0.14000000059604645,right
24,69.97570490837097,-0.2345000058412552,-0.046549998223781586,left
25,69.98142004013062,-0.699999988079071,0.0,left
26,70.25424313545227,0.699999988079071,-0.14000000059604645,right
27,70.25945591926575,0.699999988079071,-0.14000000059604645,right
28,73.75753164291382,0.14218196272850037,-0.08421819657087326,right
29,73.7619879245758,-0.699999988079071,0.0,left
30,74.33906292915344,0.460088312625885,-0.11600883305072784,right
31,74.34410762786865,0.699999988079071,-0.14000000059604645,right
32,77.92785835266113,-0.18549999594688416,-0.05144999921321869,left
33,77.93464255332947,-0.699999988079071,0.0,left
34,78.3909182548523,-0.36874300241470337,-0.03312569856643677,left
35,78.39606022834778,-0.699999988079071,0.0,left
36,78.70285511016846,0.2345000058412552,-0.09345000237226486,right
37,78.70823621749878,0.699999988079071,-0.14000000059604645,right
38,81.28395915031433,-0.18549999594688416,-0.05144999921321869,left
39,81.2882719039917,-0.699999988079071,0.0,left
40,83.47563910484314,0.2345000058412552,-0.09345000237226486,right
41,83.48094534873962,0.699999988079071,-0.14000000059604645,right
42,84.59882044792175,0.0,0.20000000298023224,straight
43,88.48822402954102,-0.044423907995224,-0.06555760651826859,left
44,88.49356293678284,0.699999988079071,-0.14000000059604645,right
45,89.01197385787964,-0.4644239842891693,-0.023557603359222412,left
46,89.01498341560364,-0.699999988079071,0.0,left
47,93.62783074378967,-0.0444239005446434,-0.06555760651826859,left
48,93.63258910179138,0.699999988079071,-0.14000000059604645,right
49,94.85515236854553,-0.4380393326282501,-0.026196066290140152,left
50,94.86015057563782,-0.699999988079071,0.0,left
51,99.09124970436096,0.1591033637523651,-0.08591033518314362,right
52,99.09477114677429,0.699999988079071,-0.14000000059604645,right
53,102.34800863265991,-0.26089659333229065,-0.04391033947467804,left
54,102.35231232643127,-0.699999988079071,0.0,left
55,106.37024545669556,0.17795181274414062,-0.0877951830625534,right
56,106.37495446205139,0.699999988079071,-0.14000000059604645,right
57,107.00988626480103,0.21923305094242096,-0.0919233039021492,right
58,107.01428771018982,0.699999988079071,-0.14000000059604645,right
59,107.32062554359436,-0.2345000058412552,-0.046549998223781586,left
60,107.32593011856079,-0.699999988079071,0.0,left
61,109.63692831993103,0.18549999594688416,-0.08855000138282776,right
62,109.64210486412048,0.699999988079071,-0.14000000059604645,right
63,109.73843550682068,0.2545344829559326,-0.09545344859361649,right
64,109.74375295639038,0.699999988079071,-0.14000000059604645,right
65,112.15876936912537,-0.21842874586582184,-0.04815712571144104,left
66,112.16401863098145,-0.699999988079071,0.0,left
67,112.47055339813232,0.2345000058412552,-0.09345000237226486,right
68,112.47482895851135,0.699999988079071,-0.14000000059604645,right
69,115.11595225334167,-0.18549999594688416,-0.05144999921321869,left
70,115.12036561965942,-0.699999988079071,0.0,left
71,117.2965681552887,-0.34250760078430176,-0.03574924170970917,left
72,117.30148792266846,-0.699999988079071,0.0,left
73,121.2223219871521,0.2345000058412552,-0.09345000237226486,right
74,121.22716760635376,0.699999988079071,-0.14000000059604645,right
75,125.26270699501038,-0.18549999594688416,-0.05144999921321869,left
76,125.26992678642273,-0.699999988079071,0.0,left
77,128.45484828948975,-0.4567064642906189,-0.024329353123903275,left
78,128.4592730998993,-0.699999988079071,0.0,left
79,128.62338829040527,0.0,0.20000000298023224,straight
80,132.79192447662354,-0.18549999594688416,-0.05144999921321869,left
81,132.797297000885,-0.699999988079071,0.0,left
82,133.88773703575134,-0.4908406138420105,-0.020915938541293144,left
83,133.89175510406494,-0.699999988079071,0.0,left
84,136.78008008003235,-0.07084060460329056,-0.06291593611240387,left
85,136.78413248062134,0.699999988079071,-0.14000000059604645,right
86,137.01801371574402,-0.4908406138420105,-0.020915940403938293,left
87,137.02317929267883,-0.699999988079071,0.0,left
88,140.83184003829956,-0.04744356870651245,-0.06525564193725586,left
89,140.83730554580688,0.699999988079071,-0.14000000059604645,right
90,141.94514966011047,-0.4674435555934906,-0.023255644366145134,left
91,141.95361304283142,-0.699999988079071,0.0,left
92,146.3641073703766,-0.034281086176633835,-0.06657189130783081,left
93,146.3685381412506,0.699999988079071,-0.14000000059604645,right
94,147.74604320526123,-0.45324432849884033,-0.02467556670308113,left
